Sum of receipts,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
5% PPRT CASH RECPTS,,,,,,,,,,,,,,,,,,996769.1,1407789,2109147,1767161.88,1975718.04,1333574.76,2383262.52,943568.64,1043939.76,13960930.7
CORP INCOME TAX AMNESTY,,,,,,,271613122.9,,,,,,,302218072.2,,,,,,,,,,,,,573831195.2
CORPORATE,1409998301,1411270008,1537191484,1302558437,1062978671,1013916642,1216403870,1584160006,1809356561,2159462767,2241573871,2090683517,1665995544,2007856435,2991454484,3687761694,3649104648,3150242266,2390993443,1611595902,2609825600,3026832584,2601374923,4451123048,6831153587,7324129279,66838997573
PERS PROP REPL TAX AMNESTY,,,,,,,81576361.83,,,,,,,146047542.4,,,,,,,,,,,,,227623904.3
PPRT-PERSON PROP TAX REPLACE,898912477,919108230.8,1030674257,942653146.3,765126576.1,761126499.1,872409361.2,1073580357,1229062400,1458890211,1508148118,1272559819,1020689330,1201091117,1241689092,1484233963,1472470842,1592426283,1448675725,1704347652,1574245957,1690405241,1643814930,2511716640,4965686373,4945432366,41229176962
6,8325072769,8844150358,9511313770,9497345487,9624453445,9642915281,10167637946,10635482599,11446475043,11756598880,12131968306,11958995831,11391633650,12178286623,12679907248,12829970787,13355722906,13969220180,14417750828,14825434373,15425489312,15998533397,15809753657,17528823258,20327584557,21349184503,3.3563E+11
5% SALES TAX CASH RECEIPTS,,,,,,,,,,,,,,,,,,2639940,3161960.64,2824641.84,2199516.24,2589640.32,2560154.64,4871968.2,2303556.24,3241585.56,26392963.68
ACCELERATED SALES TAX,,,,,,,,,,,,415829.05,1829940.2,3628929.65,4124016.69,4647402.58,5912112.39,6739639.23,7819567.5,11266737.79,160654.09,,,,,,46544829.17
AUTO RENT TAX/COUNTY AMNESTY,,,,,,,13.26,,,,,,,,,,,,,,,,,,,,13.26
AUTO RENT TAX/MPEA,22617269.33,24379279.57,25414516.22,27586614.76,24275930.84,22164763.74,21768485.67,24350321.51,25611578.97,30913489.11,30876352.87,27012180.72,25507325.87,26453428.92,28719580.06,30633516.01,31656068.94,32582650.13,33163382.48,33225399.71,34443503.25,32674637.71,31449637.94,22060313.18,35889125.98,44159778.66,749589132.2
AUTO RENT TAX/MPEA-AMNESTY,,,,,,,5572.28,,,,,,,106.63,,,,,,,,,,,,,5678.91
AUTO RENT TAX/MUNI AMNESTY,,,,,,,1167.52,,,,,,,3306.49,,,,,,,,,,,,,4474.01
AUTO RENT TAX/MUNICIPALITY,4734465.56,5337557.04,5627080.78,5659398.7,5194223.61,4972240.6,5302757.4,5166192.23,5497883.03,5925529.69,6185048.84,5681105.98,5381018.35,5721932.1,5903018.59,6291289.41,6159827.24,6751182.12,7032358.99,7044631.36,7109726.84,7754661.31,6636148.52,5118594.93,7670761.3,9241212.62,159099847.1
AUTO RENTING TAX AMNESTY,,,,,,,6514.26,,,,,,,24737.17,,,,,,,,,,,,,31251.43
AUTO RENTING TAX-COUNTIES,80049.89,92134.99,86238.83,69483.15,86430.82,52546.87,54541.04,56480.51,28146.06,,20808.63,57940.04,232513.69,181343.61,270706.07,283575.66,214064.03,258923.32,239271.82,220693.23,244325.73,255777.73,202032.9,98060.42,192016.21,219893,3797998.25
AUTO RENTING TAX-STATE,26163957.14,29698848.82,31429079.35,31271436.4,28789557.07,26464171.75,28512520.22,28050693.26,28897722.09,30856657,32692580.29,30826262.51,28866424.75,33587556.8,34048791.9,35658381.53,37886357.79,39316372.59,40437765.54,40608447.42,39917671.64,44772350.12,39817819.92,31753840.51,45026200.97,54394502.66,899745970
BUSINESS DISTRICT R.O.T.,,,,,,,,,69135.37,486564.8,2736552.55,6380993.07,6930745.55,5892813.88,6262977.78,7972298.38,10196093.03,10046357.18,9918584.1,9219722.19,24993850.13,28244685.52,29242519,38591227.32,48906266.95,61661831.41,307753218.2
CNTY HOME RULE SALES AMNESTY,,,,,,,314575.65,,,,,,,1783070.11,,,,,,,,,,,,,2097645.76
CNTY PUBLIC SAFETY TAX AMNESTY,,,,,,,7012.74,,,,,,,,,,,,,,,,,,,,7012.74
CO HOME RULE SALES TAX-EXCEL,108849825.8,105827024.4,113221003.4,111947034,105099577.5,104524687.3,107930332,113886585.9,126273906.5,132906819.7,135875994.8,268568469.9,265262074.3,248740979.7,226560668.7,163306154.4,148566239.3,143667076.4,231540799.7,355819380.9,6218605.42,,,,,,3324593240
CO WATER COM SLS TX AMNESTY,,,,,,,25604.15,,,,,,,,,,,,,,,,,,,,25604.15
CO WATER COMM ROT/EXCEL,11844748.65,12517315.95,14301139.06,14185069.27,12855762.1,12339882.6,12872644.11,13586469.88,15064255.57,13426261.17,15380022.88,13139614.89,12231103.27,12491417.18,14093450.01,14317528.82,15240211.45,15669479.07,15371277.6,294379.98,61.35,,,,,,261222094.9
COOK COUNTY PROTEST,778.83,,,22100.93,199.02,,,,,,,,,,,,,,,,,,,,,,23078.78
COUNTY HOME RULE SALES TAX,148870488.7,156205874.3,164748081.2,170629567.8,174019932.1,178009998.5,185827023.1,188164574.2,200381388.5,199399172.5,203483476.7,401054101.3,395663427.2,305705586.8,295812383.3,177524521.1,192842563.4,189944552.7,292538790,419090740.9,894398173,791467568.5,808123967.8,699304605.7,1059230347,1116210001,10008650907
COUNTY PUBLIC SAFETY R.O.T.,925876.33,3021642.02,8012696.42,10637126.77,13007537.15,18201862.48,37533243.2,41746589.52,40207276.09,43115551.53,45900680.1,44480155.09,43024579.17,48203239.05,48590233.98,48892112.28,50130075.31,49007230.61,51110409.52,44959798.19,102248441.9,103413909,101771779.4,133534961.4,159275303.7,170840260.2,1461792570
COUNTY WATER COMM SALES TAX,17727892.95,20285565.26,19803161.46,19699224.88,20579895.25,19224884.69,20205751.14,21052351.86,22308832.84,18311260.13,21407914.96,16402488.92,17748890.66,16090591.45,18050048.04,18161040.63,19496132.03,21139958.2,21768459.86,1208286.38,23077.93,,,,,,370695709.5
CTY PUBLIC SAFETY--ACCELERATED,590269.46,2481184.14,5559780.97,8922928.44,7614482.86,7335185.3,14529520.65,18961373.54,26332395,31120312.06,36187500.99,32624186.63,32713072.68,37537043.9,37314446.92,38556514.26,38774290.06,38488995.95,42085684.48,46271164.47,543755.94,,,,,,504544088.7
FLOOD PREV OCCUP TX-ACCEL,,,,,,,,,,,,,90306.7,4436054.27,4958741.95,5043843.97,4975104.4,4841090.75,5264873.72,6357205.83,98554.94,,,,,,36065776.53
FLOOD PREVENTION OCCUPATION TX,,,,,,,,,,,,2316256.95,11079801.19,8830062.12,6795565.05,6685863.78,6652748.73,6800501.21,5957826.8,5423835.8,12027261.73,12539529.71,12148213.92,13800271.26,16384443.13,17492442.84,144934624.2
HOME RULE MUNI R O T-EXCEL,134415366.5,144863066.9,168256093.5,174509078.5,161392442.5,187737996.7,191357433.9,229593478.1,247244780,295821839.1,325553158.7,308171793.4,298675791.2,348698486,377867201.2,387917792.6,399277405.7,407722963.7,432070938,479249174.5,6701157.83,,,,,,5707097438
HOME RULE MUNI SALES TAX,25367.98,103,,,796.04,,,,,,,,,,,,,,,,,,,,,,26267.02
HOME RULE MUNI SLS TX AMNESTY,,,,,,,426687.71,,,,,,,1965136.89,,,,,,,,,,,,,2391824.6
HOME RULE MUNICI SALES TAX,189220272.2,208253579.1,219828428.7,225334449.5,248490441.6,271827832.6,299452223.3,334956351.4,386145199.9,458864701.4,439769479.8,406639603.3,411604664.1,442688915.4,434909744.3,475646610.3,509190910,550638032,555225943.4,542157667.7,1086589520,1078089041,1059055840,1024413848,1405670573,1484546444,14749210315
HOME RULE MUNICI SOFT DRINK,6815041.33,7520303.02,7923883.48,8003602.35,8034470.8,8246219.53,8191656.2,7953431.5,8331420.4,8460048.17,8860138.34,8525787.21,8667144.6,9123568.74,9603760.92,9991186.39,9190117.19,9461787.26,9762053.99,10052925.81,8863183.38,10938867.89,10228690.08,7942280.5,10474007.11,12205964.45,233371540.6
LOCAL CANNABIS EXCISE TAX,,,,,,,,,,,,,,,,,,,,,,,,46648386.68,72428195.98,73162590.19,192239172.9
LOCALLY-IMPOSED SALES TAX,,,,,,,,,,,,,,,,,,,,,,,5152812.44,2685963.43,7552007.04,12474507.67,27865290.58
MED CANNABIS-INC TX SURCHARGE,,,,,,,,,,,,,,,,,,,,,92550,59924,219410,1316364,639848,122598,2450694
METRO EAST PARK REG,,,,,2246055.24,1799171.7,2294660.15,2452259.58,2126375.18,2388502.85,2782252.87,2255660.94,2333111.36,2556046.08,2536967.59,2489560.52,2498535.38,2543615.92,2403519.47,2060047.06,4420814.43,4819881.39,4656456.17,5282496.54,6267537.43,6682828.07,69896355.92
METRO EAST PARK-EXCEL,,,,,,,,,2016781.77,1873950.18,1984295.05,1544933.32,2037889.06,1932321.9,1940752.91,1963643.79,1933716.09,1874628.63,2029620.68,2434296.56,38875.31,,,,,,23605705.25
METRO EAST PK & REC  AMNESTY,,,,,,,615.51,,,,,,,,,,,,,,,,,,,,615.51
METRO EAST PORK-EXCEL,,,,,1364180.78,1107322.23,1429754.34,1473266.07,,,,,,,,,,,,,,,,,,,5374523.42
METRO EAST-SALES TAX,12496585.23,12069080.15,13047731.96,13281837.82,14095373.2,14800941.01,15772296.47,16644121.56,15873920.51,16481073.64,19267530.47,15174908.44,16103359.65,16837514.2,16825077.37,16619573.49,14614581.28,17261424.38,17031084.76,15514002.05,33545859.43,32583335.62,31802511.62,35905334.07,40346619.63,42587820.33,526583498.3
METRO EAST-SALES TAX AMNESTY,,,,,,,11598.8,,,,,,,,,,,,,,,,,,,,11598.8
METRO EAST-SALES TAX/EXCEL,7768286.29,9380521.1,9257737.08,9264497.77,9018028.55,8824468.32,9217170.2,9590449.31,11670940.21,11540616.7,12271315.62,11368196.74,12533366.42,12688051.4,12889186.75,13098850.31,12841306.35,12711789.96,13510195.86,15335163.18,191214.96,,,,,,224971353.1
METRO PIER & EXPO AUTH AMNESTY,,,,,,,39502.64,,,,,,,,,,,,,,,,,,,,39502.64
METROPO PIER & EXPO AUTH.,10654830.89,11272612.05,12393345.23,13721667.64,13826657.11,15137543.86,15883985.49,18105543.38,16673223.9,17902971.01,20594378.31,17525597.5,19465513.11,34056246.58,37851683.86,41920338.86,42214156.01,47169450.49,49183481.97,50857533.21,53024806.56,55034426.39,45437823.58,21638441.02,47723729.77,57729438.73,786999426.5
NON HOME RLE MUNI SLS AMNESTY,,,,,,,4083.71,,,,,,,,,,,,,,,,,,,,4083.71
NON-HOME RULE MUNI SALES TAX,232559.74,1613635.88,1593729.41,1597234.61,2254846.06,6616493.72,11234767.5,16800181.39,13174920.24,26100059.54,48036170.86,49278654.52,48839232.26,52335269.56,58899996.27,63173850.98,64334116.14,69736709.19,69666246.98,63772356.87,142413544.2,150024856,148825587.1,167922734.9,211327745.5,222529926.8,1712335426
NON-HOME RULE R O T-EXCEL,197537.79,1058219.85,1153793.01,1150140.82,1080601.38,1088813.17,4159001.77,5988342.67,17925872.88,25707853.36,40366028.47,40203407.87,40519976.88,42279408.26,45270935.72,48746564.5,49737400.3,51383708.44,57016621.68,64978629.25,713255.84,,,,,,540726113.9
R.O.T.-SPECIFIED AMT. DEFICIEN,,,,,,,,,2141557.81,,,,2764098.87,,,,,,,,,,,,,,4905656.68
RENTAL PURCH AGRMNT OCC & USE,,,,,,,,,,,,,,,,,,,,,5418042.07,13512664.3,17170678.71,19274835.13,20300347.8,19317195.5,94993763.51
RETAILERS OCCUP. TAX AMNESTY,,,,,,,103538275.9,,,,,,,183627055,,,,,,,,,,,,,287165330.9
ROT PREPAID-QUARTER/MONTH 2.2%,2049194.42,1792807.22,2001410.37,1119067.62,1335387.6,1787233.79,2266922.01,3804133.35,3842596.3,3452526.35,3310159.12,2754184.34,2481105.38,3107235.93,6150724.12,11197312.51,10248071.67,9834564.02,7099261.57,3591123.42,69497.84,,,,,,83294518.95
RTA PUBLIC TRANS TAX,10692.1,,12551.99,42871.75,1.82,151143.91,,,3366.25,,,,,,,,,,,,,,,,,,220627.82
RTA SALES TAX,254600307.9,269925733.6,292996566.9,297133235.5,324852416.4,322692577.8,328709317.4,335453024.9,353660612.5,349430061.2,396823899.3,504717355.5,509929344,529452478.4,537684609.1,546595063.3,577736429.2,623474057.8,648677999.5,674014556.9,1228404378,1192787289,1164707483,1220595021,1516026077,1588881553,16589961449
RTA SALES TAX AMNESTY,,,,,,,800765.73,,,,,,,1797299.18,,,,,,,,,,,,,2598064.91
SALE PRICE PER OZ./CANNABIS,,,,,,,,,,,,,,,,,,,463322.25,1956730.4,3970657.63,5891182.37,14046991.36,23638556.41,20867116.02,23876851.78,94711408.22
SALES ROT-PREPAID 2.2%,782107.81,938243.56,733591.33,883000.1,1115029.67,833940.66,2456918.6,1354912.44,1048323.58,1010409.04,1046625.9,1456324.7,1935210.97,3542937.74,6623330.1,1266396.58,1531735.12,1499334.81,947271.06,679830.73,80.6,,,,,,31685555.1
SALES TAX ON SORBENTS,,,,,,,,,,,,,,,2000000,2000000,1245907.07,1175707.62,606600.1,365234.58,65707.43,228468.67,268787.37,272539.83,241638.05,53568.31,8524159.03
SALES TAX-QUARTERLY/MONTHLY,192775091.6,200530653.9,209380876,207759058.3,194170625.1,197080438.3,207420749.2,215385508.1,238812756.5,250419647.8,284444493.9,398322820.7,352063300.5,396218433.2,409441265.1,433374689.7,460194332.3,480602456,481000646.7,503685280.8,6708500.92,,,,,,6319791625
SCHOOL FAC OCCUP TX-ACCEL,,,,,,,,,,,,,67730.04,7972890.76,16361052.3,19949755.05,23952047.14,30985178.09,38509243.84,43221451.35,359212.44,,,,,,181378561
SCHOOL FACILITY OCCUP TAX,,,,,,,,,,,,,11651.35,329022.62,1257602.03,1007293.08,,,,,,,,,,,2605569.08
SCHOOL FACILITY OCCUPATION TAX,,,,,,,,,,,,4556732.67,11313080.83,22691423.71,25144394.8,29400901.13,32503535.16,44571204.87,43353551.17,45090890.42,130278626,139179979.7,149251262.7,181354760.4,208965705.7,227633459.9,1295289509
ST RETAILER'S OCCUPATION TAX,3926166918,4233581633,4577932772,4570836705,4894141722,4812163455,5016876646,5233143112,5520181484,5473166011,5599935377,5144994845,4990441108,5054914836,5267936339,5334122896,5611538677,5992133322,6183866168,6354498359,11168549650,11933687094,11742238991,13248519027,14679765671,15378788374,1.81944E+11
ST ROT PREPAID-QUARTER/MONTH,51876970.77,45386332,50667283.63,28330077.55,33806391.06,45245234.98,57388919.68,96304638.39,97278358.98,87403432.34,83799291.56,69724350.1,62811139.75,78581016.18,155710438.6,283468807.2,259438026.2,248969751.6,187376384.2,157153289.5,3036519,,,,,,2183756653
STATE CANNABIS EXCISE TAX,,,,,,,,,,,,,,,,,,,,,,,34711775.84,176865328.6,262906673.6,255527697,730011475.1
STATE ROT QTRLY/MNTLY 2.2%,90199420.94,93675360.94,100490973.5,99136277.26,92351883.73,93662847.32,94527314.88,101800615.5,112875702.2,118105273.3,119849514.8,114610826.7,101784924.8,111517091.3,120520504.2,124219022.2,128669039.2,131704009.3,133360832.4,131319544.1,2774231.42,,,,,,2217155210
STATE ROT QUARTERLY/MONTHLY,2962954935,3089035107,3297150859,3283246846,3051922929,3090575702,3145026767,3356232166,3709662860,3911125874,3998910651,3815987460,3449640286,3819535046,4075002402,4231661619,4366819387,4448067393,4509262245,4464947657,85470270.03,,,,,,74162238460
STATE ROT-2.2%,119619051.9,129654561.6,139711068,139012009.2,149201781.5,147133816.4,152053800.3,159124753.9,168572334.1,165303109.4,167120450.4,155354795.4,150058006,150753311.2,158299820.4,160105245.4,168534505.7,179848297,183747953.2,188311409,329158455.1,357983627,350026282.2,395413497.4,441203043,465602177.2,5470907162
STATE ROT-PREPAID,19806607.99,23752377.78,18578297.22,22353844.44,28227855.26,21111864.46,62198833.47,34300677.07,26539136.78,25579302.55,26496160.79,36868008.12,48991391.45,89773381.35,167674830.8,32059770.66,38777080.95,37956844.41,24168629.59,26352154.46,3521.3,,,,,,811570570.9
9,1332214994,1359069481,1387462186,1395448632,1400421083,1416240859,1453039095,1465358318,1476628381,1484102439,1368767641,1498779843,1370731139,1346778582,1323513616,1292105364,1326187533,1325883248,1387552087,1382802101,1402974104,1384883990,2353786736,2428206580,2600525206,2649724179,40613187418
CNTY OPTION MFT - AMNESTY,,,,,,,246447.7,,,,,,,,,,,,,,,,,,,,246447.7
COUNTY OPTION MOTOR FUEL TAX,24238804.15,26128196.77,27506129.03,27814465.34,26899416.26,27925184.91,28908435.86,30763364.63,30561068.76,30395741.79,34103383.36,31377881.71,31503312.63,32544137.36,33248743.36,32273058.36,32219762.12,32610778.01,33512436.49,34387615.04,35034656.73,34375436.84,34827596.41,44541013.94,73160316.15,80495427.34,911356363.4
INTERNAT'L FUEL TAX AGREEMENT,137843332.1,127941956.7,129308018.4,131012706,131776443.5,129768418.4,128941996.3,141884505.4,154604522,158577406.6,146494715.4,144003134.1,102973795.8,84871724.83,75111167.64,67584293.82,66218646.49,51306023.62,41970926.79,41597808.47,36423533.39,37348258.2,45664536.9,42973401.32,61290553.55,81378794.96,2498870621
MILEAGE,110087.32,147526.51,135641.02,4297.76,431.35,,,,,,,,,,,,,,,,,,,,,,397983.96
MOTOR FEDERAL TAX COMPLIANCE,,76117.7,,,,,,,,,,,,,,,,,,,,,,,,,76117.7
MOTOR FUEL TAX,,,,1070841.73,,,,,,,,,,,,,,,,,,,,,,,1070841.73
MOTOR FUEL TAX AMNESTY,,,,,,,1497509.92,,,,,,,726286.74,,,,,,,,,,,,,2223796.66
MOTOR FUEL TAX/DECALS,202207.74,96924.54,46289.87,,,,,,,,,,,,,,,,,,,,,,,,345422.15
MOTOR FUEL TAX/STORAGE,75774845.1,67988295.61,68363423.87,78340879.92,69646957.66,66286332.87,77648568.58,71940779.31,74248388.61,78171468.12,71080677.1,74779353.45,70815962.47,71124459.77,69538615.25,68644154.35,70512183.95,70716263.87,76905807.91,73950605.34,75532301.77,74236161.38,68929978.73,65526323.06,67659066.24,66014641.72,1864376496
MUNICIPAL MOTOR FUEL TAX,,,,,,,,,,,,,,,,,,,,,,,,3854397.96,4838884.63,4456008.26,13149290.85
REGULAR MFT,1093949898,1136597603,1162000075,1157114993,1171966245,1192097168,1215157591,1220632837,1217044039,1216786963,1116838331,1248476093,1165274068,1157166606,1145283841,1123318810,1156970580,1170993623,1234955156,1232672113,1255773852,1238716534,2204146744,2271069844,2393290905,2417141227,35315435738
TRIP PERMIT,95820,92860,102608.75,90448.5,131589.31,163755.07,131200,136831.76,170362.91,170860,250533.71,143380,164000,305260,331248.89,285048.16,266360,256560,207760,193960,209760,207600,217880,241600,285480,238080,5090847.06
UNDERGRND STORAGE TAX AMNESTY,,,,,,,507345.18,,,,,,,40107.14,,,,,,,,,,,,,547452.32
12,1193480748,1423402398,1524560633,1613201243,1568457959,1534352764,1789785113,1774183266,1827082628,1884020810,1925401947,1969436734,1850817642,1899490176,1812062982,1781004509,1691994305,1718903265,1624386308,1639793887,1624897404,1658807719,1586206033,1508374270,1536414278,1557127376,43517646398
5% TELECOM CASH RECEIPTS,,,,,,,,,,,,,,,,,,202316.7,127710.12,113940.24,60730.56,388395.48,11822.52,227651.88,5661.96,77943.36,1216172.82
5% TIMF CASH RECEIPTS,,,,,,,,,,,,,,,,,,8340.2,12927.76,5250.6,1638.84,4889.64,599.4,1152,283.32,3805.8,38887.56
ASSESSMENT-PUT,,,,,,,,,,,,,,,,,,,,324403.79,558438.02,619966.38,367018.96,285907.42,264149.22,240491.73,2660375.52
ELECTRIC EXCISE TAX-ACCEL,,28836792.9,249264707.5,283030773.8,310579924.1,292347959.8,320410483.8,321743308.4,351167203,359795423.9,368419832.4,365242448.4,342986685.9,350734887.2,361806134.7,360332793.3,364980796.8,361659455.6,348275245.6,356271098.3,6897663,,,,,,6104783618
ELECTRIC UT ONE TIME PAY,,,,,,,,,,,,,17223660,,,,,,,,,,,,,,17223660
ELECTRICITY DISTRIBUTION TAX,,,,,,,,,,188739344.6,184793961,199544112.9,159256387.3,182106059.7,203454575.9,193145411.9,170969606.6,190496538.9,190041726.1,200445646.7,199223753.7,228954200.7,224972277.2,233316583,263516437.5,264499564.7,3477476188
ELECTRICITY EXCISE TAX,,232582053.7,112421311.9,51278534.71,32441401.81,49361340.37,26858788.03,31580438.01,40954143.16,31375513.43,38389038.82,34764143.89,38827545.38,49713227.86,27685989.61,39617472.85,40961356.16,35897439.6,28473963.13,38902672.73,382813687.9,402804710.5,387023629.3,372548838.5,388146960.8,382531830,3297956032
ELECTRICITY EXCISE TAX AMNESTY,,,,,,,9387.33,,,,,,,51287.85,,,,,,,,,,,,,60675.18
ENRGY TRANSITION ASST/ELECTRIC,,,,,,,,,,,,,,,,,,,,,,,,,28773074.81,90620234.15,119393309
GAS UTIL-ONE TIME PAYMENT,,,,,,,,,,,,,4776340,,,,,,,,,,,,,,4776340
INTRA-STATE REVENUE TAX/P.U.,16249772.19,7642895.37,8198021.92,17112092.47,9865625.53,7942526.65,8287805.55,9502669.16,9237288.07,9373313.86,8878783.65,8831974.87,7973928.76,7335887.4,7050194.01,6464643.58,7126941.03,8468550.01,6961194.31,6163408.07,6303236.25,6393687.35,6691915.25,6602521.48,7232696.77,9545132.55,221436706.1
P.U. INVESTED CAPITAL-AMNESTY,,,,,,,8909.03,,,,,,,733961,,,,,,,,,,,,,742870.03
P.U. TAX-ELECTRIC/EXCEL,295376582,28196289.56,,,,,,,,,,,,,,,,,,,,,,,,,323572871.5
P.U. TAX-ELECTRIC/REGULAR,20918235.61,27082914.56,261954.67,39678.52,,,,,,,,,,,,,,,,,,,,,,,48302783.36
P.U. TAX-GAS/EXCEL,125697375.1,97589263.05,107471664.6,116518676.8,107872631.4,106261684.3,138790175,150464075,143849092.2,138383644.4,149747270.4,156503454.4,149975045.2,146210901.7,137292070.8,118474595.1,153938066.8,172224461.1,134772913.5,130825327.6,2003686.06,,,,,,2684866074
P.U. TAX-GAS/REGULAR,9827928.54,10142639.43,14785831.92,25355414.77,8830563.63,34286230.73,29317748.99,12673030.55,11044700.77,21958425,18233009.9,15033869.27,8348139.24,12860022.52,7886167.3,25294821.03,34459687.93,5935062.56,2616511.75,18248065.23,167617774.3,171878989.3,167892222,148154584.9,154561445.5,168663182.2,1305906069
P.U. TAX-INVESTED CAPITAL,195827702.1,173528143.8,170143998.3,183470914.9,177571418.6,177278689.6,178388059.6,175408815.2,201860691.2,,,,,,,,,,,,,,,,,,1633478433
P.U. TAX-MESSAGE/EXCEL,324551306.3,325860208.5,432430214.2,469720764.2,460532804.5,358446140.8,347042068.5,361857406.4,360204040,394768076,416517504,427607502.2,411076866.2,409614270.8,348137925.1,374798799.9,309439483.6,333287428.3,318983786.2,245069593.4,5038757.39,,,,,,7434984946
P.U. TAX-MESSAGE/REGULAR,100728385.4,175193068,98468623.2,90144042.51,80249362.73,80863000.45,115420829.2,84483465.61,75747667.96,79758480.51,64171441.5,65168357.1,45165864.53,62598595.68,34197597.98,34645531.82,42514784.66,28496778.15,27465838.13,42152432.7,268485618.5,232532695.2,219865383.1,183197907,163044580,159550439.8,2654310771
P.U. TAX-TELECOMM TAX AMNESTY,,,,,,,5804730.22,,,,,,,11262857.02,238063.74,,,,,,,,,,,,17305650.98
P.U. TX-GAS REGULAR AMNESTY,,,,,,,45592,,,,,,,32667.68,,,,,,,,,,,,,78259.68
PUBLIC UTILITY PRO RATA SHARE,,,,,,,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,5500000,,,,1490.64,3745.16,2917.47,2695.46,2454.06,66013302.79
PUBLIC UTILITY TAX,,,191583.55,,,,,,,,,,,,,,,,,,,,,,,,191583.55
QSWEF TAX CREDIT REPAYMENT,,,3132842.16,5465528.9,5360104.66,5805507.13,8574525.43,8558673.7,9057394.55,14680338.33,11097773.66,9938241.61,6024439.42,7686611.38,7161779.72,4886008.55,3644711.99,2520880.51,3333410.94,2130718.6,1969755.88,1717725.25,3115627.27,2173597.22,3711488.89,125556.8,131873242.6
SIMPLE TELECOMM/EXCEL,,,,,,67775030.12,182468447.3,225162822.2,239093360.2,246529221.1,262666179.3,264046879.5,251584968.4,220532578,303157977.9,249410233.3,211285433.7,221189762.4,200892181.6,216079015.9,3272842.5,,,,,,3365146933
SIMPLIFIED MUNI TELE TAX,,,,,,27028850.75,64804501.15,47674040.95,38105208.1,33052753.36,27016001.29,38586665.42,27495688.44,35421083.62,27734575.52,24600531.41,26193088.64,22033580.42,17256028.91,27232924.88,189654552.3,183859792.3,161722921.3,138664338.7,124360355.4,113674657.5,1396172140
SIMPLIFIED MUNICIPAL TELE TAX,,,,,,,,,,,,,,,175227.18,,,,,,,,,,,,175227.18
SMPLFD MUNCPAL TELE TAX AMNSTY,,,,,,,,,,,,,,8290042.82,,,,,,,,,,,,,8290042.82
SOLID WASTE FACILITIES,,,,268882.69,359476.93,297121.7,370787.31,313956.64,320892.26,260225.44,188528.91,32800.32,82502.31,83848.71,68095.16,54937.27,16123.82,,,,,,,,,,2718179.47
SUPPLEMENT ENERGY ASST/ELECTRI,12977345.36,45720850.21,40180124.2,47141113.04,43461626.3,41971343.92,48968277.06,45425445.77,47247112.84,45017725.67,49896153.66,49314069.33,55638832.16,54432579.75,55816335.19,52388223.99,52217854.89,57882420.97,57447181.14,55844226.13,56723213.31,58919303.01,58558807.69,57674642.81,56922300.56,53901613.67,1301688723
