fy,fund,agency,source,interfund_trans,from_fund,source_name,receipts,data_source,fund_name,agency_name,fund_cat,fund_cat_name.x,fund_ab,fund_ioc,fund_re,a_end,in_ff,fund_name_ab,fund_category,fund_cat_name.y,in_ff_rev,in_ff_exp,source_name_AWM,rev_type,rev_type_name,amnesty,local,type_assigned
2020,0001,478,0676,0,9999,MEDICAL ASSISTANCE,2863598878,rev ioc 03.11.2020,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,MEDICAL ASSISTANCE,58,Federal Medicaid Reimbursements,NA,NA,NA
2022,0346,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,2812068565,NA,HOSPITAL PROVIDER,HEALTHCARE & FAMILY SERVICES,NA,NA,0346,0346,0,NA,1,HOSPITAL PROVIDER,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0346,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,2351734515,NA,HOSPITAL PROVIDER,HEALTHCARE & FAMILY SERVICES,D,SPECIAL STATE FUNDS,0346,0346,0,NA,1,HOSPITAL PROVIDER,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0561,586,0607,NA,NA,DEPARTMENT OF EDUCATION-FED,2259235123.44,NA,SBE FEDERAL DEPT OF EDUCATION,STATE BOARD OF EDUCATION,G,FEDERAL TRUST FUNDS,0561,0561,0,NA,1,SBE FEDERAL DEPT OF EDUCATION,G,Federal Trust Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2022,0329,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,2132627918,NA,COUNTY PROVIDER TRUST,HEALTHCARE & FAMILY SERVICES,NA,NA,0329,0329,0,NA,1,COUNTY PROVIDER TRUST,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2020,0346,478,0618,0,9999,HEALTH AND HUMAN SERVICES,2040466402,rev ioc 03.11.2020,HOSPITAL PROVIDER,HEALTHCARE & FAMILY SERVICES,NA,NA,0346,0346,0,NA,1,HOSPITAL PROVIDER,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0329,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,1985901358,NA,COUNTY PROVIDER TRUST,HEALTHCARE & FAMILY SERVICES,D,SPECIAL STATE FUNDS,0329,0329,0,NA,1,COUNTY PROVIDER TRUST,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2019,0346,478,0618,0,9999,HEALTH AND HUMAN SERVICES,1957226329,rev ioc 12.11.2019,HOSPITAL PROVIDER,HEALTHCARE & FAMILY SERVICES,NA,NA,0346,0346,0,NA,1,HOSPITAL PROVIDER,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0011,494,0643,NA,NA,"TRANSPORTATION, DEPARTMENT",1778794309.5,NA,ROAD,TRANSPORTATION,B,HIGHWAY FUNDS,0011,0011,0,NA,1,ROAD,B,Highway Funds,1,1,"TRANSPORTATION, DEPARTMENT",59,Federal Transportation,NA,NA,NA
2022,0011,494,0643,NA,NA,"TRANSPORTATION, DEPARTMENT",1666244649.78,NA,ROAD,TRANSPORTATION,NA,NA,0011,0011,0,NA,1,ROAD,B,Highway Funds,1,1,"TRANSPORTATION, DEPARTMENT",59,Federal Transportation,NA,NA,NA
2020,0011,494,0643,0,9999,"TRANSPORTATION, DEPARTMENT",1621458384.28,rev ioc 03.11.2020,ROAD,TRANSPORTATION,NA,NA,0011,0011,0,NA,1,ROAD,B,Highway Funds,1,1,"TRANSPORTATION, DEPARTMENT",59,Federal Transportation,NA,NA,NA
2020,0561,586,0607,0,9999,DEPARTMENT OF EDUCATION-FED,1484361867.33,rev ioc 03.11.2020,SBE FEDERAL DEPT OF EDUCATION,STATE BOARD OF EDUCATION,NA,NA,0561,0561,0,NA,1,SBE FEDERAL DEPT OF EDUCATION,G,Federal Trust Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2019,0561,586,0607,0,9999,DEPARTMENT OF EDUCATION-FED,1455587125.47,rev ioc 12.11.2019,SBE FEDERAL DEPT OF EDUCATION,STATE BOARD OF EDUCATION,NA,NA,0561,0561,0,NA,1,SBE FEDERAL DEPT OF EDUCATION,G,Federal Trust Funds,1,1,DEPARTMENT OF EDUCATION-FED,57,Federal - Other,NA,NA,NA
2019,0011,494,0643,0,9999,"TRANSPORTATION, DEPARTMENT",1229773842,rev ioc 12.11.2019,ROAD,TRANSPORTATION,NA,NA,0011,0011,0,NA,1,ROAD,B,Highway Funds,1,1,"TRANSPORTATION, DEPARTMENT",59,Federal Transportation,NA,NA,NA
2022,0410,586,0594,NA,NA,"AGRICULTURE, DEPARTMENT OF",1110627431.08,NA,SBE FEDERAL DEPT OF AGRI,STATE BOARD OF EDUCATION,NA,NA,0410,0410,0,NA,1,SBE FEDERAL DEPT OF AGRI,G,Federal Trust Funds,1,1,"AGRICULTURE, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2020,0329,478,0618,0,9999,HEALTH AND HUMAN SERVICES,1065534217,rev ioc 03.11.2020,COUNTY PROVIDER TRUST,HEALTHCARE & FAMILY SERVICES,NA,NA,0329,0329,0,NA,1,COUNTY PROVIDER TRUST,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0728,478,0692,NA,NA,MEDICAL ASSISTANCE,913738035,NA,DRUG REBATE,HEALTHCARE & FAMILY SERVICES,D,SPECIAL STATE FUNDS,0728,0728,0,NA,1,DRUG REBATE FUND,D,Special State Funds,1,1,MEDICAL ASSISTANCE,58,Federal Medicaid Reimbursements,NA,NA,NA
2022,0728,478,0692,NA,NA,MEDICAL ASSISTANCE,890136718,NA,DRUG REBATE,HEALTHCARE & FAMILY SERVICES,NA,NA,0728,0728,0,NA,1,DRUG REBATE FUND,D,Special State Funds,1,1,MEDICAL ASSISTANCE,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0410,586,0594,NA,NA,"AGRICULTURE, DEPARTMENT OF",807448606.94,NA,SBE FEDERAL DEPT OF AGRI,STATE BOARD OF EDUCATION,G,FEDERAL TRUST FUNDS,0410,0410,0,NA,1,SBE FEDERAL DEPT OF AGRI,G,Federal Trust Funds,1,1,"AGRICULTURE, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2019,0410,586,0594,0,9999,"AGRICULTURE, DEPARTMENT OF",781855192.32,rev ioc 12.11.2019,SBE FEDERAL DEPT OF AGRI,STATE BOARD OF EDUCATION,NA,NA,0410,0410,0,NA,1,SBE FEDERAL DEPT OF AGRI,G,Federal Trust Funds,1,1,"AGRICULTURE, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2020,0410,586,0594,0,9999,"AGRICULTURE, DEPARTMENT OF",750854891.07,rev ioc 03.11.2020,SBE FEDERAL DEPT OF AGRI,STATE BOARD OF EDUCATION,NA,NA,0410,0410,0,NA,1,SBE FEDERAL DEPT OF AGRI,G,Federal Trust Funds,1,1,"AGRICULTURE, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2019,0329,478,0618,0,9999,HEALTH AND HUMAN SERVICES,734511126,rev ioc 12.11.2019,COUNTY PROVIDER TRUST,HEALTHCARE & FAMILY SERVICES,NA,NA,0329,0329,0,NA,1,COUNTY PROVIDER TRUST,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2022,0347,444,1338,NA,NA,CCDBG MANDATORY DISC,711763586.51,NA,EMPLOYMENT & TRAINING,HUMAN SERVICES,NA,NA,0347,0347,0,NA,1,EMPLOYMENT & TRAINING,G,Federal Trust Funds,1,1,CCDBG MANDATORY DISC,57,Federal - Other,NA,NA,NA
2019,0728,478,0692,0,9999,MEDICAL ASSISTANCE,603245018,rev ioc 12.11.2019,DRUG REBATE,HEALTHCARE & FAMILY SERVICES,NA,NA,0728,0728,0,NA,1,DRUG REBATE FUND,D,Special State Funds,1,1,MEDICAL ASSISTANCE,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0419,420,0647,NA,NA,"TREASURY, DEPARTMENT OF",566275814.9,NA,DCEO PROJECTS,COMMERCE AND ECONOMIC OPPORTUN,I,STATE TRUST FUNDS,0419,0419,0,NA,1,DCEO PROJECTS,I,State Trust Funds,1,1,"TREASURY, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2019,0329,478,0660,0,9999,HHS/HOSPITAL PARTICIPATION,540477418,rev ioc 12.11.2019,COUNTY PROVIDER TRUST,HEALTHCARE & FAMILY SERVICES,NA,NA,0329,0329,0,NA,1,COUNTY PROVIDER TRUST,D,Special State Funds,1,1,HHS/HOSPITAL PARTICIPATION,58,Federal Medicaid Reimbursements,NA,NA,NA
2022,0063,482,0618,NA,NA,HEALTH AND HUMAN SERVICES,527659082.85,NA,PUBLIC HEALTH SERVICES,PUBLIC HEALTH,NA,NA,0063,0063,0,NA,1,PUBLIC HEALTH SERVICES,G,Federal Trust Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2020,0728,478,0692,0,9999,MEDICAL ASSISTANCE,519176519,rev ioc 03.11.2020,DRUG REBATE,HEALTHCARE & FAMILY SERVICES,NA,NA,0728,0728,0,NA,1,DRUG REBATE FUND,D,Special State Funds,1,1,MEDICAL ASSISTANCE,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0095,494,0643,NA,NA,"TRANSPORTATION, DEPARTMENT",509522754.73,NA,FEDERAL/STATE/LOCAL AIRPORT,TRANSPORTATION,G,FEDERAL TRUST FUNDS,0095,0095,0,NA,1,FEDERAL&LOCAL AIRPORT,G,Federal Trust Funds,1,1,"TRANSPORTATION, DEPARTMENT",59,Federal Transportation,NA,NA,NA
2021,0491,588,1741,NA,NA,FEMA,475598182.72,NA,FEDERAL AID DISASTER,IL EMERGENCY MANAGEMENT AGCY,G,FEDERAL TRUST FUNDS,0491,0491,0,NA,1,FEDERAL AID DISASTER,G,Federal Trust Funds,1,1,FEMA,57,Federal - Other,NA,NA,NA
2022,0001,478,0675,NA,NA,MEDICAL ADMINISTRATION,468103750,NA,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,MEDICAL ADMINISTRATION,57,Federal - Other,NA,NA,NA
2022,0491,588,1741,NA,NA,FEMA,456279482.46,NA,FEDERAL AID DISASTER,IL EMERGENCY MANAGEMENT AGCY,NA,NA,0491,0491,0,NA,1,FEDERAL AID DISASTER,G,Federal Trust Funds,1,1,FEMA,57,Federal - Other,NA,NA,NA
2021,0001,478,0675,NA,NA,MEDICAL ADMINISTRATION,427243111,NA,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,A,GENERAL FUNDS,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,MEDICAL ADMINISTRATION,57,Federal - Other,NA,NA,NA
2021,0347,444,1393,NA,NA,FED MONIES - TANF GRANT,411954494,NA,EMPLOYMENT & TRAINING,HUMAN SERVICES,G,FEDERAL TRUST FUNDS,0347,0347,0,NA,1,EMPLOYMENT & TRAINING,G,Federal Trust Funds,1,1,FED MONIES - TANF GRANT,57,Federal - Other,NA,NA,NA
2022,0347,444,1393,NA,NA,FED MONIES - TANF GRANT,392477193.32,NA,EMPLOYMENT & TRAINING,HUMAN SERVICES,NA,NA,0347,0347,0,NA,1,EMPLOYMENT & TRAINING,G,Federal Trust Funds,1,1,FED MONIES - TANF GRANT,57,Federal - Other,NA,NA,NA
2020,0001,478,0675,0,9999,MEDICAL ADMINISTRATION,390067792,rev ioc 03.11.2020,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,MEDICAL ADMINISTRATION,57,Federal - Other,NA,NA,NA
2022,0325,588,2178,NA,NA,FEDERAL STIMULUS PACKAGE,371089695.5,NA,LOCAL CURE,IL EMERGENCY MANAGEMENT AGCY,NA,NA,0325-B,0325,2,NA,1,LOCAL CURE,G,Federal Trust Funds,0,1,FEDERAL STIMULUS PACKAGE,57,Federal - Other,NA,NA,NA
2020,0347,444,1393,0,9999,FED MONIES - TANF GRANT,356148075,rev ioc 03.11.2020,EMPLOYMENT & TRAINING,HUMAN SERVICES,NA,NA,0347,0347,0,NA,1,EMPLOYMENT & TRAINING,G,Federal Trust Funds,1,1,FED MONIES - TANF GRANT,57,Federal - Other,NA,NA,NA
2022,0870,420,0655,NA,NA,HHS FEDERAL BLOCK GRANT,342724262.99,NA,LOW INC HOME ENERGY BLOCK GRNT,COMMERCE AND ECONOMIC OPPORTUN,NA,NA,0870,0870,0,NA,1,LOW INC HOME ENERGY BLOCK GRNT,G,Federal Trust Funds,1,1,HHS FEDERAL BLOCK GRANT,57,Federal - Other,NA,NA,NA
2021,0063,482,0618,NA,NA,HEALTH AND HUMAN SERVICES,325658002.09,NA,PUBLIC HEALTH SERVICES,PUBLIC HEALTH,G,FEDERAL TRUST FUNDS,0063,0063,0,NA,1,PUBLIC HEALTH SERVICES,G,Federal Trust Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2021,0408,444,1338,NA,NA,CCDBG MANDATORY DISC,323181433,NA,DHS SPECIAL PURPOSE TRUST,HUMAN SERVICES,G,FEDERAL TRUST FUNDS,0408,0408,0,NA,1,DHS SPECIAL PURPOSE TRUST,G,Federal Trust Funds,1,1,CCDBG MANDATORY DISC,57,Federal - Other,NA,NA,NA
2021,0220,418,0618,NA,NA,HEALTH AND HUMAN SERVICES,318406573.51,NA,DCFS CHILDREN'S SERVICES,CHILDREN AND FAMILY SERVICES,D,SPECIAL STATE FUNDS,0220,0220,0,NA,1,DCFS CHILDREN'S SERVICES,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2022,0052,427,0630,NA,NA,"LABOR,DEPARTMENT OF",314930760.75,NA,FEDERAL TITLE III SS & EMPLOY,EMPLOYMENT SECURITY,NA,NA,0052,0052,0,NA,1,FEDERAL TITLE III SS & EMPLOY,G,Federal Trust Funds,1,1,"LABOR,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2022,0220,418,0618,NA,NA,HEALTH AND HUMAN SERVICES,307551971.05,NA,DCFS CHILDREN'S SERVICES,CHILDREN AND FAMILY SERVICES,NA,NA,0220,0220,0,NA,1,DCFS CHILDREN'S SERVICES,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2019,0001,478,0675,0,9999,MEDICAL ADMINISTRATION,300958054,rev ioc 12.11.2019,GENERAL REVENUE,HEALTHCARE & FAMILY SERVICES,NA,NA,0001,0001,0,NA,1,GENERAL REVENUE,A,General Funds,1,1,MEDICAL ADMINISTRATION,57,Federal - Other,NA,NA,NA
2020,0329,478,0660,0,9999,HHS/HOSPITAL PARTICIPATION,298135901,rev ioc 03.11.2020,COUNTY PROVIDER TRUST,HEALTHCARE & FAMILY SERVICES,NA,NA,0329,0329,0,NA,1,COUNTY PROVIDER TRUST,D,Special State Funds,1,1,HHS/HOSPITAL PARTICIPATION,58,Federal Medicaid Reimbursements,NA,NA,NA
2020,0220,418,0618,0,9999,HEALTH AND HUMAN SERVICES,291744103.24,rev ioc 03.11.2020,DCFS CHILDREN'S SERVICES,CHILDREN AND FAMILY SERVICES,NA,NA,0220,0220,0,NA,1,DCFS CHILDREN'S SERVICES,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2021,0052,427,0630,NA,NA,"LABOR,DEPARTMENT OF",289990106.01,NA,FEDERAL TITLE III SS & EMPLOY,EMPLOYMENT SECURITY,G,FEDERAL TRUST FUNDS,0052,0052,0,NA,1,FEDERAL TITLE III SS & EMPLOY,G,Federal Trust Funds,1,1,"LABOR,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2019,0220,418,0618,0,9999,HEALTH AND HUMAN SERVICES,276145711.33,rev ioc 12.11.2019,DCFS CHILDREN'S SERVICES,CHILDREN AND FAMILY SERVICES,NA,NA,0220,0220,0,NA,1,DCFS CHILDREN'S SERVICES,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,57,Federal - Other,NA,NA,NA
2021,0667,588,1741,NA,NA,FEMA,275637782.81,NA,DISASTER RESPONSE AND RECOVERY,IL EMERGENCY MANAGEMENT AGCY,I,STATE TRUST FUNDS,0667,0667,0,NA,1,DISASTER RESPONSE AND RECOVERY,I,State Trust Funds,1,1,FEMA,57,Federal - Other,NA,NA,NA
2022,0667,588,1741,NA,NA,FEMA,267190634.25,NA,DISASTER RESPONSE AND RECOVERY,IL EMERGENCY MANAGEMENT AGCY,NA,NA,0667,0667,0,NA,1,DISASTER RESPONSE AND RECOVERY,I,State Trust Funds,1,1,FEMA,57,Federal - Other,NA,NA,NA
2019,0347,444,1393,0,9999,FED MONIES - TANF GRANT,263135042,rev ioc 12.11.2019,EMPLOYMENT & TRAINING,HUMAN SERVICES,NA,NA,0347,0347,0,NA,1,EMPLOYMENT & TRAINING,G,Federal Trust Funds,1,1,FED MONIES - TANF GRANT,57,Federal - Other,NA,NA,NA
2021,0870,420,0655,NA,NA,HHS FEDERAL BLOCK GRANT,255167900.18,NA,LOW INC HOME ENERGY BLOCK GRNT,COMMERCE AND ECONOMIC OPPORTUN,G,FEDERAL TRUST FUNDS,0870,0870,0,NA,1,LOW INC HOME ENERGY BLOCK GRNT,G,Federal Trust Funds,1,1,HHS FEDERAL BLOCK GRANT,57,Federal - Other,NA,NA,NA
2020,0120,478,0618,0,9999,HEALTH AND HUMAN SERVICES,234000000,rev ioc 03.11.2020,HOME SERVICES MEDICAID TRUST,HEALTHCARE & FAMILY SERVICES,NA,NA,0120-B,0120,2,NA,1,HOME SERVICES MEDICAID TRUST,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0120,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,234000000,NA,HOME SERVICES MEDICAID TRUST,HEALTHCARE & FAMILY SERVICES,D,SPECIAL STATE FUNDS,0120-B,0120,2,NA,1,HOME SERVICES MEDICAID TRUST,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2022,0120,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,234000000,NA,HOME SERVICES MEDICAID TRUST,HEALTHCARE & FAMILY SERVICES,NA,NA,0120-B,0120,2,NA,1,HOME SERVICES MEDICAID TRUST,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2019,0120,478,0618,0,9999,HEALTH AND HUMAN SERVICES,232927488,rev ioc 12.11.2019,HOME SERVICES MEDICAID TRUST,HEALTHCARE & FAMILY SERVICES,NA,NA,0120-B,0120,2,NA,1,HOME SERVICES MEDICAID TRUST,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2021,0324,588,2178,NA,NA,FEDERAL STIMULUS PACKAGE,228414388.94,NA,STATE CURE,IL EMERGENCY MANAGEMENT AGCY,G,FEDERAL TRUST FUNDS,0324-B,0324,2,NA,1,STATE CURE,D,Special State Funds,0,1,FEDERAL STIMULUS PACKAGE,57,Federal - Other,NA,NA,NA
2021,0345,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,213817842,NA,LONG TERM CARE PROVIDER,HEALTHCARE & FAMILY SERVICES,D,SPECIAL STATE FUNDS,0345,0345,0,NA,1,LONG TERM CARE PROVIDER,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2019,0421,478,0618,0,9999,HEALTH AND HUMAN SERVICES,187457916,rev ioc 12.11.2019,PUBLIC AID RECOVERIES TRUST,HEALTHCARE & FAMILY SERVICES,NA,NA,0421,0421,0,NA,1,PUBLIC AID RECOVERIES TRUST,I,State Trust Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2019,0870,420,0655,0,9999,HHS FEDERAL BLOCK GRANT,186065208.23,rev ioc 12.11.2019,LOW INC HOME ENERGY BLOCK GRNT,COMMERCE AND ECONOMIC OPPORTUN,NA,NA,0870,0870,0,NA,1,LOW INC HOME ENERGY BLOCK GRNT,G,Federal Trust Funds,1,1,HHS FEDERAL BLOCK GRANT,57,Federal - Other,NA,NA,NA
2020,0052,427,0630,0,9999,"LABOR,DEPARTMENT OF",185623436.16,rev ioc 03.11.2020,FEDERAL TITLE III SS & EMPLOY,EMPLOYMENT SECURITY,NA,NA,0052,0052,0,NA,1,FEDERAL TITLE III SS & EMPLOY,G,Federal Trust Funds,1,1,"LABOR,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2020,0408,444,1338,0,9999,CCDBG MANDATORY DISC,181671912,rev ioc 03.11.2020,DHS SPECIAL PURPOSE TRUST,HUMAN SERVICES,NA,NA,0408,0408,0,NA,1,DHS SPECIAL PURPOSE TRUST,G,Federal Trust Funds,1,1,CCDBG MANDATORY DISC,57,Federal - Other,NA,NA,NA
2019,0052,427,0630,0,9999,"LABOR,DEPARTMENT OF",179818771.87,rev ioc 12.11.2019,FEDERAL TITLE III SS & EMPLOY,EMPLOYMENT SECURITY,NA,NA,0052,0052,0,NA,1,FEDERAL TITLE III SS & EMPLOY,G,Federal Trust Funds,1,1,"LABOR,DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2022,0345,478,0618,NA,NA,HEALTH AND HUMAN SERVICES,173710162,NA,LONG TERM CARE PROVIDER,HEALTHCARE & FAMILY SERVICES,NA,NA,0345,0345,0,NA,1,LONG TERM CARE PROVIDER,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2020,0345,478,0618,0,9999,HEALTH AND HUMAN SERVICES,172671981,rev ioc 03.11.2020,LONG TERM CARE PROVIDER,HEALTHCARE & FAMILY SERVICES,NA,NA,0345,0345,0,NA,1,LONG TERM CARE PROVIDER,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2019,0345,478,0618,0,9999,HEALTH AND HUMAN SERVICES,172350887,rev ioc 12.11.2019,LONG TERM CARE PROVIDER,HEALTHCARE & FAMILY SERVICES,NA,NA,0345,0345,0,NA,1,LONG TERM CARE PROVIDER,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
2019,0700,444,0594,0,9999,"AGRICULTURE, DEPARTMENT OF",168873082,rev ioc 12.11.2019,"USDA WOMEN, INFANTS & CHILDREN",HUMAN SERVICES,NA,NA,0700,0700,0,NA,1,USDA WOMEN  INFANTS & CHILDREN,G,Federal Trust Funds,1,1,"AGRICULTURE, DEPARTMENT OF",57,Federal - Other,NA,NA,NA
2019,0355,478,0618,0,9999,HEALTH AND HUMAN SERVICES,162891253,rev ioc 12.11.2019,SPECIAL ED MEDICAID MATCHING,HEALTHCARE & FAMILY SERVICES,NA,NA,0355,0355,0,NA,1,SPECIAL ED MEDICAID MATCHING,D,Special State Funds,1,1,HEALTH AND HUMAN SERVICES,58,Federal Medicaid Reimbursements,NA,NA,NA
