Other Federal Revenue,Total_spent_fy22,ISBE,906000000,K-12,Total_spent,Included,ESSER2,CRRSA,CRRSA,Total spent  K-12 was 3.51 billion but that includes normal amount provided by fed gov,,,2250805000,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,ISBE,500000000,K-12,Total_spent,Included,ESSER2,CRRSA,CRRSA,Total spent  K-12 was 3.51 billion but that includes normal amount provided by fed gov,,,2250805000,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,DCEO,262335100,,Total_spent,,State CURE,,,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,Family Services,330017646,,Total_spent,,ARPA,Considered within Medicaid,Considered within Medicaid,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,DR&R,175816500,Public Safety,Total_spent,,FEMA?,Includes all expenses for fy22 DRR,Includes all expenses for fy22 DRR,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy21,Local Transfers,220882700,Local Transfers,Total_spent,,CARES,,,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,Local Transfers,390044740,Local Transfers,Total_spent,,ARPA,,,,,,,,,,,,,,,,,,,
Other Federal Revenue,Allocated_fy23,Local Transfers,554500000,Local Transfers,Allocated,,ARPA,,,,,,,,,,,,7.52,,,,,,,
Other Federal Revenue,Total_spent_fy21,State CURE,1759598410,Com. Dev & Services,Total_spent,Included,State CURE,,,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,State CURE,3783709579,Com. Dev & Services,Total_spent,Included,State CURE,,,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,Human Services,62733000,Human Services,Total_spent,,State CURE,ARPA,ARPA,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy20,IDOR,350000000,Disaster Recovery,Total_spent,Included,Disaster Response,CARES-CRF-DRR,CARES-CRF-DRR,Was deposited into Disaster Response and Recovery Fund (Public Safety). Remaining 2.7 billion was transferred into state CURE fund.,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy20,IDOR,125000000,Local Transfers,Total_spent,Excluded,Local CURE,CARES-CRF-Local Transfers,CARES-CRF-Local Transfers,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy21,State CURE,220882700,Local Transfers,Total_spent,Excluded,Local CURE,CARES-CRF-Local Transfers,CARES-CRF-Local Transfers,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,State CURE,390055750,Local Transfers,Total_spent,Excluded,Local CURE,CARES-CRF-Local Transfers,CARES-CRF-Local Transfers,,,,,,,,,,,,,,,,,
Federal Medicaid,Total_spent_fy21,Medicaid,2028354219,Medicaid,Total_spent,Medicaid Matching Funds Increase,Families First Act,FFCRA,Other *,Act2,,,2028354219,received,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy21,Public Health,2290000000,Federal Medicaid,Total_spent,Grants to Healthcare Providers,PPP & HC Enhancement Act,PPP,Other *,Act4,,,2290000000,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy21,Public Health,3180000000,Federal Medicaid,Total_spent,Grants to Healthcare Providers,Healthcare Provider Fund,CARES,CARES,Act3,,,3180000000,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy21,Public Health,316000000,Public Health,,,,,,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,Public Health,267000000,Public Health,,,,,,,,,,,,,,,,,,,,,,
Federal Medicaid,Total_spent_fy21,Medicaid,2440888026,Federal Medicaid,Total_spent,Medicaid Continuous Coverage,Families First Act,FFCRA,Other *,Act2,,,2440888026,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy21,Human Services,508748600,Human Services,Total_spent,TANF Grant,ARPA,ARPA,ARPA,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,Medicaid,511697100,Federal Medicaid,Total_spent,Medical Administration,ARPA,ARPA,ARPA,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy21,DCEO,349000000,DCEO,Total_spent,Rental Assistance,CRRSA,,,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,DCEO,218000000,DCEO,Total_spent,Rental Assistance,CRRSA,,,,,,,,,,,,,,,,,,,
Other Federal Revenue,Total_spent_fy22,DCEO,243000000,DCEO,Total_spent,Rental Assistance,ARPA,,,,,,,,,,,,,,,,,,,
